Lambda,aw_mcf2016
350,0.00089
351,0.000917
352,0.00094
353,0.000958
354,0.00097
355,0.000977
356,0.00098
357,0.000981
358,0.00099
359,0.001018
360,0.00106
361,0.001107
362,0.00115
363,0.001181
364,0.0012
365,0.001207
366,0.00121
367,0.001214
368,0.00122
369,0.001228
370,0.00124
371,0.001256
372,0.00127
373,0.001279
374,0.00129
375,0.001309
376,0.00133
377,0.001349
378,0.00137
379,0.0014
380,0.00143
381,0.001452
382,0.00147
383,0.00149
384,0.00151
385,0.001528
386,0.00155
387,0.001581
388,0.00162
389,0.001663
390,0.0017
391,0.001724
392,0.00175
393,0.001795
394,0.00185
395,0.001905
396,0.00196
397,0.002018
398,0.00208
399,0.002147
400,0.00222
401,0.002298
402,0.00237
403,0.002428
404,0.00248
405,0.002532
406,0.00257
407,0.002581
408,0.00259
409,0.002622
410,0.00266
411,0.002684
412,0.00271
413,0.002753
414,0.0028
415,0.002839
416,0.00288
417,0.002936
418,0.003
419,0.003062
420,0.00312
421,0.003173
422,0.00322
423,0.003262
424,0.00331
425,0.003372
426,0.00344
427,0.003507
428,0.00358
429,0.003667
430,0.00376
431,0.003853
432,0.00395
433,0.004058
434,0.00417
435,0.004283
436,0.00442
437,0.004599
438,0.0048
439,0.005001
440,0.00522
441,0.005475
442,0.00574
443,0.005991
444,0.00626
445,0.006579
446,0.00691
447,0.007215
448,0.00751
449,0.007811
450,0.00808
451,0.008276
452,0.00842
453,0.008536
454,0.00863
455,0.008702
456,0.00877
457,0.008849
458,0.00893
459,0.009004
460,0.00909
461,0.009206
462,0.00933
463,0.00944
464,0.00955
465,0.009673
466,0.00979
467,0.009886
468,0.00999
469,0.010132
470,0.0103
471,0.010475
472,0.01065
473,0.010823
474,0.011
475,0.011186
476,0.01138
477,0.011577
478,0.01177
479,0.011954
480,0.01214
481,0.012337
482,0.01254
483,0.012741
484,0.01294
485,0.01314
486,0.01336
487,0.013617
488,0.01391
489,0.014237
490,0.0146
491,0.015004
492,0.01545
493,0.015942
494,0.01648
495,0.017073
496,0.01774
497,0.018492
498,0.01926
499,0.019986
500,0.02073
501,0.021556
502,0.02242
503,0.023287
504,0.02424
505,0.025375
506,0.02668
507,0.028133
508,0.02971
509,0.031374
510,0.033
511,0.034456
512,0.03569
513,0.036662
514,0.03738
515,0.037861
516,0.03821
517,0.038517
518,0.03878
519,0.038984
520,0.03917
521,0.039383
522,0.03962
523,0.039877
524,0.04017
525,0.040513
526,0.04088
527,0.041247
528,0.04162
529,0.042013
530,0.04242
531,0.042841
532,0.0433
533,0.043818
534,0.04436
535,0.04489
536,0.04541
537,0.045928
538,0.04645
539,0.046981
540,0.04754
541,0.048147
542,0.04882
543,0.049573
544,0.0504
545,0.051292
546,0.05224
547,0.053234
548,0.05425
549,0.055269
550,0.05629
551,0.057798
552,0.058922
553,0.059505
554,0.059583
555,0.0596
556,0.059894
557,0.060363
558,0.060815
559,0.061259
560,0.0619
561,0.062848
562,0.063735
563,0.064084
564,0.064001
565,0.0642
566,0.065196
567,0.066569
568,0.067712
569,0.068544
570,0.0695
571,0.070903
572,0.072521
573,0.074017
574,0.075434
575,0.0772
576,0.079619
577,0.082314
578,0.084779
579,0.087029
580,0.0896
581,0.092921
582,0.09682
583,0.101032
584,0.105428
585,0.11
586,0.114742
587,0.119576
588,0.124424
589,0.129453
590,0.1351
591,0.141636
592,0.148404
593,0.154567
594,0.160376
595,0.1672
596,0.176145
597,0.186771
598,0.19841
599,0.210478
600,0.2224
601,0.233554
602,0.243125
603,0.25012
604,0.254603
605,0.2577
606,0.260229
607,0.262199
608,0.263381
609,0.263929
610,0.2644
611,0.265197
612,0.266111
613,0.266798
614,0.267253
615,0.2678
616,0.268711
617,0.269965
618,0.271503
619,0.273328
620,0.2755
621,0.277985
622,0.280213
623,0.281483
624,0.282096
625,0.2834
626,0.286274
627,0.289368
628,0.290847
629,0.290867
630,0.2916
631,0.294563
632,0.298175
633,0.300202
634,0.300538
635,0.3012
636,0.303626
637,0.306594
638,0.308324
639,0.309002
640,0.3108
641,0.315188
642,0.320171
643,0.32302
644,0.323725
645,0.325
646,0.32877
647,0.333285
648,0.336027
649,0.337249
650,0.34
651,0.346461
652,0.354438
653,0.360867
654,0.365525
655,0.371
656,0.379186
657,0.38857
658,0.396946
659,0.403752
660,0.41
661,0.41633
662,0.421901
663,0.425474
664,0.427269
665,0.429
666,0.431866
667,0.434895
668,0.436644
669,0.437357
670,0.439
671,0.442849
672,0.446849
673,0.448221
674,0.447381
675,0.448
676,0.45266
677,0.45869
678,0.462331
679,0.463349
680,0.465
681,0.469656
682,0.4755
683,0.479859
684,0.482577
685,0.486
686,0.491846
687,0.49877
688,0.504818
689,0.509945
690,0.516
691,0.524317
692,0.533594
693,0.54202
694,0.549764
695,0.559
696,0.571315
697,0.585177
698,0.598467
699,0.610903
700,0.624
